PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thdown_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thdown_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1525	Hmel216011	1342171	1342428	+	0	NA	Intergenic	Intergenic	26095	ID=HMEL033557g1.t1-E2;Parent=HMEL033557g1.t1								
2545	Hmel204001	1079211	1079703	+	0	NA	Intergenic	Intergenic	-1769	ID=HMEL017422g2.t1-E2;Parent=HMEL017422g2.t1								
1242	Hmel213051	137790	138230	+	0	NA	Intergenic	Intergenic	1346	ID=HMEL032085g1.t1-E3;Parent=HMEL032085g1.t1								
138	Hmel201009	1665309	1665803	+	0	NA	Intergenic	Intergenic	3097	ID=HMEL030153g1.t1-E2;Parent=HMEL030153g1.t1								
1107	Hmel212013	2436511	2437122	+	0	NA	promoter-TSS (ID=HMEL011471g1.t1-E2;Parent=HMEL011471g1.t1)	-promoter-TSS (ID=HMEL011471g1.t1-E2;Parent=HMEL011471g1.t1)	-698	ID=HMEL011471g1.t2-E2;Parent=HMEL011471g1.t2								
1208	Hmel213044	9543	9853	+	0	NA	Intergenic	Intergenic	-2663	ID=HMEL017385g1.t1-E1;Parent=HMEL017385g1.t1								
1874	Hmel202006	2069984	2070282	+	0	NA	Intergenic	Intergenic	7838	ID=HMEL014361g2.t1-E1;Parent=HMEL014361g2.t1								
1803	Hmel218011	243649	243966	+	0	NA	Intergenic	Intergenic	-16238	ID=HMEL034333g1.t1-E1;Parent=HMEL034333g1.t1								
724	Hmel210011	3189791	3191126	+	0	NA	TTS (ID=HMEL030890g1.t1-E1;Parent=HMEL030890g1.t1)	-TTS (ID=HMEL030890g1.t1-E1;Parent=HMEL030890g1.t1)	398	ID=HMEL030890g1.t1-E1;Parent=HMEL030890g1.t1								
1201	Hmel213035	330889	331957	+	0	NA	Intergenic	Intergenic	-1370	ID=HMEL031994g1.t1-E3;Parent=HMEL031994g1.t1								
519	Hmel209007	2418835	2419368	+	0	NA	TTS (ID=HMEL002205g1.t1-E3;Parent=HMEL002205g1.t1)	-TTS (ID=HMEL002205g1.t1-E3;Parent=HMEL002205g1.t1)	771	ID=HMEL002205g1.t1-E3;Parent=HMEL002205g1.t1								
1195	Hmel213030	62555	62804	+	0	NA	Intergenic	Intergenic	-37103	ID=HMEL031987g1.t1-E1;Parent=HMEL031987g1.t1								
17	Hmel206006	443157	444111	+	0	NA	Intergenic	Intergenic	13659	ID=HMEL012148g1.t1-E2;Parent=HMEL012148g1.t1								
2451	Hmel203030	392122	392298	+	0	NA	TTS (ID=HMEL020585g1.t1-E1;Parent=HMEL020585g1.t1)	-TTS (ID=HMEL020585g1.t1-E1;Parent=HMEL020585g1.t1)	558	ID=HMEL020585g1.t3-E1;Parent=HMEL020585g1.t3								
1327	Hmel213071	145450	145710	+	0	NA	Intergenic	Intergenic	11958	ID=HMEL002196g1.t2-E28;Parent=HMEL002196g1.t2								
2192	Hmel220003	1046554	1047173	+	0	NA	Intergenic	Intergenic	2978	ID=HMEL034993g1.t2-E2;Parent=HMEL034993g1.t2								
1274	Hmel213065	590711	590885	+	0	NA	Intergenic	Intergenic	-7718	ID=HMEL032151g1.t1-E4;Parent=HMEL032151g1.t1								
2667	Hmel205020	113612	114926	+	0	NA	Intergenic	Intergenic	3342	ID=HMEL036784g1.t1-E2;Parent=HMEL036784g1.t1								
110	Hmel206009	4279980	4280169	+	0	NA	promoter-TSS (ID=HMEL037082g1.t1-E1;Parent=HMEL037082g1.t1)	-promoter-TSS (ID=HMEL037082g1.t1-E1;Parent=HMEL037082g1.t1)	349	ID=HMEL037083g1.t1-E1;Parent=HMEL037083g1.t1								
333	Hmel207023	80185	80447	+	0	NA	Intergenic	Intergenic	-9472	ID=HMEL037733g1.t1-E1;Parent=HMEL037733g1.t1								
1995	Hmel219003	1819354	1820112	+	0	NA	promoter-TSS (ID=HMEL010660g1.t1-E1;Parent=HMEL010660g1.t1)	-promoter-TSS (ID=HMEL010660g1.t1-E1;Parent=HMEL010660g1.t1)	-36	ID=HMEL010660g1.t1-E1;Parent=HMEL010660g1.t1								
2356	Hmel220011	112320	112811	+	0	NA	promoter-TSS (ID=HMEL035267g1.t1-E1;Parent=HMEL035267g1.t1)	-promoter-TSS (ID=HMEL035267g1.t1-E1;Parent=HMEL035267g1.t1)	-727	ID=HMEL035267g1.t1-E1;Parent=HMEL035267g1.t1								
2210	Hmel220003	1579906	1580865	+	0	NA	Intergenic	Intergenic	11100	ID=HMEL035000g1.t1-E2;Parent=HMEL035000g1.t1								
2658	Hmel205017	123743	124846	+	0	NA	Intergenic	Intergenic	-4122	ID=HMEL036719g1.t1-E1;Parent=HMEL036719g1.t1								
646	Hmel210005	572906	573441	+	0	NA	Intergenic	Intergenic	5599	ID=HMEL014098g1.t1-E19;Parent=HMEL014098g1.t1								
446	Hmel209001	223732	224133	+	0	NA	Intergenic	Intergenic	4006	ID=HMEL006100g1.t1-E3;Parent=HMEL006100g1.t1								
2181	Hmel220003	310762	311713	+	0	NA	Intergenic	Intergenic	32377	ID=HMEL016468g1.t1-E2;Parent=HMEL016468g1.t1								
2229	Hmel220003	2291281	2291996	+	0	NA	Intergenic	Intergenic	-3011	ID=HMEL012563g1.t1-E1;Parent=HMEL012563g1.t1								
1220	Hmel213049	328768	329235	+	0	NA	Intergenic	Intergenic	7554	ID=HMEL017300g1.t1-E3;Parent=HMEL017300g1.t1								
1582	Hmel217001	2758546	2759156	+	0	NA	promoter-TSS (ID=HMEL033760g1.t1-E1;Parent=HMEL033760g1.t1)	-promoter-TSS (ID=HMEL033760g1.t1-E1;Parent=HMEL033760g1.t1)	-5	ID=HMEL033760g1.t1-E1;Parent=HMEL033760g1.t1								
1599	Hmel217004	1124465	1124688	+	0	NA	Intergenic	Intergenic	-4996	ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1								
2306	Hmel220005	4057156	4057889	+	0	NA	Intergenic	Intergenic	-6672	ID=HMEL035191g1.t1-E1;Parent=HMEL035191g1.t1								
1149	Hmel201019	1401929	1402688	+	0	NA	promoter-TSS (ID=HMEL014744g1.t1-E1;Parent=HMEL014744g1.t1)	-promoter-TSS (ID=HMEL014744g1.t1-E1;Parent=HMEL014744g1.t1)	2	ID=HMEL014744g1.t1-E1;Parent=HMEL014744g1.t1								
2652	Hmel205013	172578	172835	+	0	NA	Intergenic	Intergenic	-7926	ID=HMEL036686g1.t1-E1;Parent=HMEL036686g1.t1								
2337	Hmel220005	5718749	5718981	+	0	NA	Intergenic	Intergenic	2795	ID=HMEL012769g1.t1-E1;Parent=HMEL012769g1.t1								
2603	Hmel205005	274630	274829	+	0	NA	Intergenic	Intergenic	-2747	ID=HMEL016010g6.t1-E1;Parent=HMEL016010g6.t1								
2283	Hmel220005	2709391	2709708	+	0	NA	Intergenic	Intergenic	2551	ID=HMEL035148g1.t1-E1;Parent=HMEL035148g1.t1								
2243	Hmel220005	527530	527965	+	0	NA	promoter-TSS (ID=HMEL006220g1.t1-E3;Parent=HMEL006220g1.t1)	-promoter-TSS (ID=HMEL006220g1.t1-E3;Parent=HMEL006220g1.t1)	-846	ID=HMEL006220g1.t1-E3;Parent=HMEL006220g1.t1								
2407	Hmel221012	432626	433329	+	0	NA	Intergenic	Intergenic	-8667	ID=HMEL012076g1.t1-E1;Parent=HMEL012076g1.t1								
1087	Hmel201019	819029	820134	+	0	NA	Intergenic	Intergenic	-16563	ID=HMEL006992g1.t1-E1;Parent=HMEL006992g1.t1								
1288	Hmel213067	626464	626784	+	0	NA	Intergenic	Intergenic	57864	ID=HMEL032193g1.t1-E1;Parent=HMEL032193g1.t1								
810	Hmel211004	2033812	2033967	+	0	NA	promoter-TSS (ID=HMEL031079g1.t1-E7;Parent=HMEL031079g1.t1)	-promoter-TSS (ID=HMEL031079g1.t1-E7;Parent=HMEL031079g1.t1)	698	ID=HMEL031079g1.t1-E6;Parent=HMEL031079g1.t1								
1238	Hmel213049	718237	718666	+	0	NA	Intergenic	Intergenic	2014	ID=HMEL032077g1.t1-E1;Parent=HMEL032077g1.t1								
33	Hmel206006	1922392	1922987	+	0	NA	Intergenic	Intergenic	5569	ID=HMEL036962g1.t1-E3;Parent=HMEL036962g1.t1								
1587	Hmel217004	126744	126978	+	0	NA	Intergenic	Intergenic	-4367	ID=HMEL033768g1.t1-E1;Parent=HMEL033768g1.t1								
1559	Hmel202006	1264082	1264465	+	0	NA	Intergenic	Intergenic	-2690	ID=HMEL006868g2.t1-E7;Parent=HMEL006868g2.t1								
7	Hmel205025	17547	18024	+	0	NA	NA	NA	NA	NA								
1793	Hmel218007	1401123	1401430	+	0	NA	Intergenic	Intergenic	-2269	ID=HMEL015330g1.t1-E3;Parent=HMEL015330g1.t1								
227	Hmel207002	6207809	6208585	+	0	NA	Intergenic	Intergenic	54730	ID=HMEL037494g1.t1-E2;Parent=HMEL037494g1.t1								
1701	Hmel217018	593950	594591	+	0	NA	Intergenic	Intergenic	-4304	ID=HMEL033970g1.t1-E1;Parent=HMEL033970g1.t1								
1860	Hmel218018	2480852	2481413	+	0	NA	Intergenic	Intergenic	6982	ID=HMEL034391g1.t1-E3;Parent=HMEL034391g1.t1								
2443	Hmel221017	347898	348264	+	0	NA	Intergenic	Intergenic	3031	ID=HMEL012199g1.t1-E1;Parent=HMEL012199g1.t1								
1937	Hmel218018	7704716	7705549	+	0	NA	TTS (ID=HMEL016588g3.t1-E4;Parent=HMEL016588g3.t1)	-TTS (ID=HMEL016588g3.t1-E4;Parent=HMEL016588g3.t1)	871	ID=HMEL016588g3.t1-E4;Parent=HMEL016588g3.t1								
2013	Hmel219003	3377607	3377904	+	0	NA	Intergenic	Intergenic	22359	ID=HMEL034631g1.t1-E1;Parent=HMEL034631g1.t1								
255	Hmel201009	2346756	2347213	+	0	NA	TTS (ID=HMEL030175g1.t1-E2;Parent=HMEL030175g1.t1)	-TTS (ID=HMEL030175g1.t1-E2;Parent=HMEL030175g1.t1)	944	ID=HMEL030175g1.t1-E2;Parent=HMEL030175g1.t1								
264	Hmel207008	136075	136826	+	0	NA	Intergenic	Intergenic	-3948	ID=HMEL037517g1.t1-E1;Parent=HMEL037517g1.t1								
806	Hmel211004	1579748	1579917	+	0	NA	Intergenic	Intergenic	-2925	ID=HMEL031061g1.t1-E2;Parent=HMEL031061g1.t1								
2230	Hmel220003	2300891	2301194	+	0	NA	promoter-TSS (ID=HMEL012563g2.t1-E2;Parent=HMEL012563g2.t1)	-promoter-TSS (ID=HMEL012563g2.t1-E2;Parent=HMEL012563g2.t1)	-607	ID=HMEL012563g2.t1-E2;Parent=HMEL012563g2.t1								
1885	Hmel218018	4731526	4731890	+	0	NA	Intergenic	Intergenic	-2379	ID=HMEL004317g1.t1-E1;Parent=HMEL004317g1.t1								
182	Hmel207002	2715990	2716375	+	0	NA	Intergenic	Intergenic	-4964	ID=HMEL007128g1.t1-E2;Parent=HMEL007128g1.t1								
1817	Hmel201002	2344959	2345879	+	0	NA	Intergenic	Intergenic	7847	ID=HMEL014985g1.t1-E1;Parent=HMEL014985g1.t1								
556	Hmel210001	387108	388157	+	0	NA	Intergenic	Intergenic	21559	ID=HMEL013659g1.t1-E12;Parent=HMEL013659g1.t1								
717	Hmel210011	2769919	2770371	+	0	NA	Intergenic	Intergenic	-8072	ID=HMEL030881g1.t1-E1;Parent=HMEL030881g1.t1								
815	Hmel211004	2271606	2271962	+	0	NA	Intergenic	Intergenic	-4186	ID=HMEL004312g1.t1-E1;Parent=HMEL004312g1.t1								
671	Hmel210009	377773	378906	+	0	NA	Intergenic	Intergenic	-27383	ID=HMEL005948g1.t1-E1;Parent=HMEL005948g1.t1								
1511	Hmel216011	627931	628390	+	0	NA	Intergenic	Intergenic	6185	ID=HMEL033544g1.t1-E2;Parent=HMEL033544g1.t1								
2249	Hmel220005	717156	717380	+	0	NA	Intergenic	Intergenic	-7301	ID=HMEL035058g1.t1-E1;Parent=HMEL035058g1.t1								
167	Hmel207002	2051219	2051859	+	0	NA	Intergenic	Intergenic	3353	ID=HMEL037395g1.t1-E8;Parent=HMEL037395g1.t1								
2423	Hmel221012	2636235	2636530	+	0	NA	promoter-TSS (ID=HMEL008790g1.t1-E2;Parent=HMEL008790g1.t1)	-promoter-TSS (ID=HMEL008790g1.t1-E2;Parent=HMEL008790g1.t1)	-607	ID=HMEL008790g1.t1-E2;Parent=HMEL008790g1.t1								
692	Hmel210011	1012498	1013030	+	0	NA	Intergenic	Intergenic	1886	ID=HMEL006942g1.t1-E3;Parent=HMEL006942g1.t1								
1605	Hmel217004	1180135	1180668	+	0	NA	Intergenic	Intergenic	12225	ID=HMEL006591g1.t1-E1;Parent=HMEL006591g1.t1								
663	Hmel210009	85050	85623	+	0	NA	Intergenic	Intergenic	3003	ID=HMEL005924-RA-E2;Parent=HMEL005924-RA								
2431	Hmel221012	2886564	2887209	+	0	NA	Intergenic	Intergenic	-5850	ID=HMEL035616g1.t1-E1;Parent=HMEL035616g1.t1								
1907	Hmel218018	6561483	6561785	+	0	NA	Intergenic	Intergenic	-4135	ID=HMEL034461g1.t1-E1;Parent=HMEL034461g1.t1								
854	Hmel211009	768259	768573	+	0	NA	Intergenic	Intergenic	-2036	ID=HMEL009784g1.t1-E1;Parent=HMEL009784g1.t1								
1945	Hmel218018	7823656	7823937	+	0	NA	Intergenic	Intergenic	-30253	ID=HMEL016588g4.t1-E1;Parent=HMEL016588g4.t1								
969	Hmel212001	3154708	3155018	+	0	NA	Intergenic	Intergenic	3238	ID=HMEL031381g1.t1-E3;Parent=HMEL031381g1.t1								
1174	Hmel213020	620106	620270	+	0	NA	Intergenic	Intergenic	4932	ID=HMEL010103g1.t1-E1;Parent=HMEL010103g1.t1								
1946	Hmel218018	7953336	7953481	+	0	NA	Intergenic	Intergenic	-2447	ID=HMEL016592g1.t2-E2;Parent=HMEL016592g1.t2								
510	Hmel201009	5007886	5009105	+	0	NA	promoter-TSS (ID=HMEL030260g1.t1-E1;Parent=HMEL030260g1.t1)	-promoter-TSS (ID=HMEL030260g1.t1-E1;Parent=HMEL030260g1.t1)	298	ID=HMEL030261g1.t1-E2;Parent=HMEL030261g1.t1								
393	Hmel208026	55653	56239	+	0	NA	promoter-TSS (ID=HMEL002369g1.t1-E8;Parent=HMEL002369g1.t1)	-promoter-TSS (ID=HMEL002369g1.t1-E8;Parent=HMEL002369g1.t1)	-672	ID=HMEL002369g1.t1-E8;Parent=HMEL002369g1.t1								
2276	Hmel220005	2138458	2138974	+	0	NA	Intergenic	Intergenic	-1394	ID=HMEL035127g1.t1-E1;Parent=HMEL035127g1.t1								
1501	Hmel216009	582751	583219	+	0	NA	Intergenic	Intergenic	-5447	ID=HMEL033493g1.t1-E1;Parent=HMEL033493g1.t1								
658	Hmel210005	850186	850533	+	0	NA	promoter-TSS (ID=HMEL008539g1.t1-E2;Parent=HMEL008539g1.t1)	-promoter-TSS (ID=HMEL008539g1.t1-E2;Parent=HMEL008539g1.t1)	-295	ID=HMEL008539g1.t1-E2;Parent=HMEL008539g1.t1								
274	Hmel207008	683960	685083	+	0	NA	Intergenic	Intergenic	-2610	ID=HMEL021710g1.t1-E3;Parent=HMEL021710g1.t1								
549	Hmel209007	4572987	4573878	+	0	NA	Intergenic	Intergenic	-26184	ID=HMEL003865g1.t1-E1;Parent=HMEL003865g1.t1								
877	Hmel201011	2426088	2426330	+	0	NA	Intergenic	Intergenic	-3732	ID=HMEL033072g1.t1-E1;Parent=HMEL033072g1.t1								
1508	Hmel202006	834147	834322	+	0	NA	Intergenic	Intergenic	3076	ID=HMEL010504g1.t1-E3;Parent=HMEL010504g1.t1								
1128	Hmel213004	480884	481633	+	0	NA	promoter-TSS (ID=HMEL031771g1.t1-E8;Parent=HMEL031771g1.t1)	-promoter-TSS (ID=HMEL031771g1.t1-E8;Parent=HMEL031771g1.t1)	370	ID=HMEL031771g1.t2-E7;Parent=HMEL031771g1.t2								
1771	Hmel218007	746199	746707	+	0	NA	Intergenic	Intergenic	-1088	ID=HMEL002564-RA-E1;Parent=HMEL002564-RA								
946	Hmel212001	2064256	2064720	+	0	NA	Intergenic	Intergenic	-2530	ID=HMEL016808g1.t2-E1;Parent=HMEL016808g1.t2								
1724	Hmel218003	1037882	1038415	+	0	NA	Intergenic	Intergenic	-25765	ID=HMEL001000g4.t1-E1;Parent=HMEL001000g4.t1								
1520	Hmel216011	828289	828547	+	0	NA	Intergenic	Intergenic	18634	ID=HMEL011147g1.t1-E4;Parent=HMEL011147g1.t1								
2644	Hmel205012	1160999	1161438	+	0	NA	Intergenic	Intergenic	36574	ID=HMEL017899g1.t1-E1;Parent=HMEL017899g1.t1								
2148	Hmel219014	960115	960684	+	0	NA	Intergenic	Intergenic	5170	ID=HMEL014338g2.t1-E2;Parent=HMEL014338g2.t1								
250	Hmel207002	6542097	6542350	+	0	NA	Intergenic	Intergenic	38471	ID=HMEL037500g1.t1-E9;Parent=HMEL037500g1.t1								
303	Hmel207021	735803	736153	+	0	NA	Intergenic	Intergenic	-3316	ID=HMEL037682g1.t1-E1;Parent=HMEL037682g1.t1								
1361	Hmel214010	281351	281721	+	0	NA	Intergenic	Intergenic	-2708	ID=HMEL020644g1.t1-E2;Parent=HMEL020644g1.t1								
614	Hmel210004	5515674	5516421	+	0	NA	Intergenic	Intergenic	-4609	ID=HMEL010484g1.t1-E1;Parent=HMEL010484g1.t1								
1765	Hmel218007	704567	706010	+	0	NA	Intergenic	Intergenic	8756	ID=HMEL002562g1.t1-E10;Parent=HMEL002562g1.t1								
130	Hmel201009	1406007	1406352	+	0	NA	Intergenic	Intergenic	-23760	ID=HMEL030148g1.t1-E1;Parent=HMEL030148g1.t1								
53	Hmel206009	1091159	1092238	+	0	NA	Intergenic	Intergenic	12062	ID=HMEL037015g1.t1-E2;Parent=HMEL037015g1.t1								
1373	Hmel214020	1935	2139	+	0	NA	Intergenic	Intergenic	23036	ID=HMEL032474g1.t1-E9;Parent=HMEL032474g1.t1								
1465	Hmel215047	356786	357767	+	0	NA	Intergenic	Intergenic	20318	ID=HMEL032865g1.t1-E2;Parent=HMEL032865g1.t1								
1302	Hmel213069	98067	98889	+	0	NA	Intergenic	Intergenic	-5823	ID=HMEL032199g1.t1-E1;Parent=HMEL032199g1.t1								
2239	Hmel220005	132624	133118	+	0	NA	Intergenic	Intergenic	3580	ID=HMEL007730g1.t1-E1;Parent=HMEL007730g1.t1								
1397	Hmel214025	468797	469400	+	0	NA	promoter-TSS (ID=HMEL032574g1.t1-E3;Parent=HMEL032574g1.t1)	-promoter-TSS (ID=HMEL032574g1.t1-E3;Parent=HMEL032574g1.t1)	-96	ID=HMEL032574g1.t1-E3;Parent=HMEL032574g1.t1								
941	Hmel212001	1983657	1984398	+	0	NA	Intergenic	Intergenic	5672	ID=HMEL016805g1.t1-E9;Parent=HMEL016805g1.t1								
583	Hmel210004	2259814	2260218	+	0	NA	Intergenic	Intergenic	2294	ID=HMEL004252g4.t1-E1;Parent=HMEL004252g4.t1								
2392	Hmel221001	401677	401959	+	0	NA	Intergenic	Intergenic	-5715	ID=HMEL011041g1.t1-E2;Parent=HMEL011041g1.t1								
1879	Hmel202006	2172464	2172922	+	0	NA	Intergenic	Intergenic	24964	ID=HMEL014365g1.t1-E8;Parent=HMEL014365g1.t1								
1824	Hmel218018	173141	174147	+	0	NA	Intergenic	Intergenic	-17754	ID=HMEL034351g1.t1-E1;Parent=HMEL034351g1.t1								
1869	Hmel218018	2670206	2670360	+	0	NA	Intergenic	Intergenic	-4106	ID=HMEL034394g1.t1-E1;Parent=HMEL034394g1.t1								
2342	Hmel220009	147203	147715	+	0	NA	Intergenic	Intergenic	-1909	ID=HMEL035254g1.t2-E1;Parent=HMEL035254g1.t2								
591	Hmel210004	2604514	2604724	+	0	NA	TTS (ID=HMEL012038g1.t1-E1;Parent=HMEL012038g1.t1)	-TTS (ID=HMEL012038g1.t1-E1;Parent=HMEL012038g1.t1)	614	ID=HMEL012038g1.t1-E1;Parent=HMEL012038g1.t1								
2304	Hmel220005	3719413	3719661	+	0	NA	Intergenic	Intergenic	-15750	ID=HMEL035187g1.t1-E1;Parent=HMEL035187g1.t1								
832	Hmel211004	3976407	3976715	+	0	NA	Intergenic	Intergenic	2645	ID=HMEL015693g1.t1-E1;Parent=HMEL015693g1.t1								
2341	Hmel220009	137407	137821	+	0	NA	Intergenic	Intergenic	-11754	ID=HMEL035254g1.t2-E1;Parent=HMEL035254g1.t2								
2135	Hmel219014	390122	390280	+	0	NA	Intergenic	Intergenic	-6309	ID=HMEL034784g1.t1-E1;Parent=HMEL034784g1.t1								
828	Hmel211004	3863176	3863619	+	0	NA	promoter-TSS (ID=HMEL031136g1.t1-E2;Parent=HMEL031136g1.t1)	-promoter-TSS (ID=HMEL031136g1.t1-E2;Parent=HMEL031136g1.t1)	92	ID=HMEL031136g1.t2-E2;Parent=HMEL031136g1.t2								
276	Hmel207008	938889	939153	+	0	NA	Intergenic	Intergenic	-3251	ID=HMEL003095g1.t1-E1;Parent=HMEL003095g1.t1								
102	Hmel206009	3781767	3782163	+	0	NA	Intergenic	Intergenic	2610	ID=HMEL014669g1.t1-E5;Parent=HMEL014669g1.t1								
1920	Hmel218018	6785065	6785657	+	0	NA	Intergenic	Intergenic	13476	ID=HMEL015837g1.t1-E1;Parent=HMEL015837g1.t1								
2465	Hmel201005	476283	476518	+	0	NA	promoter-TSS (ID=HMEL003401g1.t1-E1;Parent=HMEL003401g1.t1)	-promoter-TSS (ID=HMEL003401g1.t1-E1;Parent=HMEL003401g1.t1)	-156	ID=HMEL003401g1.t1-E1;Parent=HMEL003401g1.t1								
1831	Hmel218018	459342	459776	+	0	NA	Intergenic	Intergenic	27582	ID=HMEL017487-RA-E1;Parent=HMEL017487-RA								
2639	Hmel205012	1086391	1086996	+	0	NA	Intergenic	Intergenic	38059	ID=HMEL017894g4.t1-E10;Parent=HMEL017894g4.t1								
1218	Hmel213049	249504	249716	+	0	NA	Intergenic	Intergenic	-2603	ID=HMEL005137g1.t1-E2;Parent=HMEL005137g1.t1								
1404	Hmel202004	1422597	1422891	+	0	NA	Intergenic	Intergenic	1701	ID=HMEL033216g1.t1-E1;Parent=HMEL033216g1.t1								
2398	Hmel221001	2443944	2444967	+	0	NA	promoter-TSS (ID=HMEL008814g1.t1-E8;Parent=HMEL008814g1.t1)	-promoter-TSS (ID=HMEL008814g1.t1-E8;Parent=HMEL008814g1.t1)	-751	ID=HMEL008814g1.t1-E8;Parent=HMEL008814g1.t1								
1543	Hmel216012	83466	84446	+	0	NA	promoter-TSS (ID=HMEL011488g1.t1-E1;Parent=HMEL011488g1.t1)	-promoter-TSS (ID=HMEL011488g1.t1-E1;Parent=HMEL011488g1.t1)	-196	ID=HMEL011488g1.t1-E1;Parent=HMEL011488g1.t1								
259	Hmel201009	2374110	2374452	+	0	NA	Intergenic	Intergenic	2879	ID=HMEL030176g1.t1-E2;Parent=HMEL030176g1.t1								
424	Hmel201009	4190699	4191637	+	0	NA	Intergenic	Intergenic	-1183	ID=HMEL030239g1.t1-E4;Parent=HMEL030239g1.t1								
1625	Hmel217004	2205782	2206273	+	0	NA	promoter-TSS (ID=HMEL016676g1.t1-E1;Parent=HMEL016676g1.t1)	-promoter-TSS (ID=HMEL016676g1.t1-E1;Parent=HMEL016676g1.t1)	-924	ID=HMEL016676g1.t1-E1;Parent=HMEL016676g1.t1								
163	Hmel207002	2002064	2002565	+	0	NA	Intergenic	Intergenic	13419	ID=HMEL008502g1.t1-E5;Parent=HMEL008502g1.t1								
1106	Hmel212013	2431793	2432847	+	0	NA	promoter-TSS (ID=HMEL011471g1.t1-E1;Parent=HMEL011471g1.t1)	-promoter-TSS (ID=HMEL011471g1.t1-E1;Parent=HMEL011471g1.t1)	-942	ID=HMEL011471g1.t1-E1;Parent=HMEL011471g1.t1								
1402	Hmel214029	511353	511683	+	0	NA	Intergenic	Intergenic	-7252	ID=HMEL032595g1.t1-E1;Parent=HMEL032595g1.t1								
1836	Hmel218018	652755	653087	+	0	NA	Intergenic	Intergenic	31865	ID=HMEL016239g1.t1-E5;Parent=HMEL016239g1.t1								
2402	Hmel221009	438551	438828	+	0	NA	promoter-TSS (ID=HMEL035527g1.t1-E6;Parent=HMEL035527g1.t1)	-promoter-TSS (ID=HMEL035527g1.t1-E6;Parent=HMEL035527g1.t1)	-526	ID=HMEL035527g1.t1-E6;Parent=HMEL035527g1.t1								
1531	Hmel216011	1898015	1898377	+	0	NA	TTS (ID=HMEL010232-RA-E3;Parent=HMEL010232-RA)	-TTS (ID=HMEL010232-RA-E3;Parent=HMEL010232-RA)	707	ID=HMEL010232-RA-E4;Parent=HMEL010232-RA								
1841	Hmel218018	818322	818764	+	0	NA	Intergenic	Intergenic	-9257	ID=HMEL034356g1.t1-E1;Parent=HMEL034356g1.t1								
347	Hmel208003	112524	113507	+	0	NA	TTS (ID=HMEL037803g1.t1-E1;Parent=HMEL037803g1.t1)	-TTS (ID=HMEL037803g1.t1-E1;Parent=HMEL037803g1.t1)	1086	ID=HMEL037803g1.t1-E1;Parent=HMEL037803g1.t1								
1333	Hmel213071	286643	286871	+	0	NA	Intergenic	Intergenic	3204	ID=HMEL032247g1.t1-E3;Parent=HMEL032247g1.t1								
2586	Hmel204017	2386618	2387026	+	0	NA	Intergenic	Intergenic	-38885	ID=HMEL036476g1.t1-E1;Parent=HMEL036476g1.t1								
434	Hmel208051	1094532	1095178	+	0	NA	promoter-TSS (ID=HMEL008187g1.t1-E4;Parent=HMEL008187g1.t1)	-promoter-TSS (ID=HMEL008187g1.t1-E4;Parent=HMEL008187g1.t1)	-977	ID=HMEL008187g1.t1-E4;Parent=HMEL008187g1.t1								
865	Hmel211010	190091	190381	+	0	NA	promoter-TSS (ID=HMEL031193g1.t1-E3;Parent=HMEL031193g1.t1)	-promoter-TSS (ID=HMEL031193g1.t1-E3;Parent=HMEL031193g1.t1)	100	ID=HMEL031193g1.t1-E3;Parent=HMEL031193g1.t1								
1184	Hmel213022	170483	170697	+	0	NA	Intergenic	Intergenic	2420	ID=HMEL031912g1.t1-E2;Parent=HMEL031912g1.t1								
442	Hmel208051	1687467	1688041	+	0	NA	promoter-TSS (ID=HMEL038185g1.t1-E5;Parent=HMEL038185g1.t1)	-promoter-TSS (ID=HMEL038185g1.t1-E5;Parent=HMEL038185g1.t1)	-481	ID=HMEL038185g1.t1-E5;Parent=HMEL038185g1.t1								
2156	Hmel219014	1773341	1774035	+	0	NA	Intergenic	Intergenic	10554	ID=HMEL004932g1.t1-E1;Parent=HMEL004932g1.t1								
1577	Hmel217001	1026678	1027852	+	0	NA	Intergenic	Intergenic	-3287	ID=HMEL017724g1.t2-E1;Parent=HMEL017724g1.t2								
1572	Hmel202006	1388843	1390401	+	0	NA	Intergenic	Intergenic	-1841	ID=HMEL006854g1.t1-E1;Parent=HMEL006854g1.t1								
689	Hmel210011	870946	871530	+	0	NA	Intergenic	Intergenic	4614	ID=HMEL006948g1.t1-E1;Parent=HMEL006948g1.t1								
886	Hmel211012	973847	974219	+	0	NA	Intergenic	Intergenic	2828	ID=HMEL015096g1.t1-E1;Parent=HMEL015096g1.t1								
1116	Hmel212013	3063430	3063868	+	0	NA	Intergenic	Intergenic	-9174	ID=HMEL031703g1.t1-E2;Parent=HMEL031703g1.t1								
