PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thup_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thup_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
454	Hmel209007	5181026	5181385	+	0	NA	Intergenic	Intergenic	-4427	ID=HMEL011590g1.t1-E3;Parent=HMEL011590g1.t1								
1364	Hmel217018	495421	496208	+	0	NA	Intergenic	Intergenic	31479	ID=HMEL033965g1.t1-E2;Parent=HMEL033965g1.t1								
1408	Hmel218005	163157	163854	+	0	NA	Intergenic	Intergenic	-17127	ID=HmGr1_1-E1;Parent=HmGr1_1								
634	Hmel211002	66526	67178	+	0	NA	Intergenic	Intergenic	-1645	ID=HMEL015339g1.t1-E1;Parent=HMEL015339g1.t1								
578	Hmel210011	2785768	2786683	+	0	NA	Intergenic	Intergenic	-15158	ID=HMEL015947g1.t1-E1;Parent=HMEL015947g1.t1								
695	Hmel211004	3911751	3912312	+	0	NA	Intergenic	Intergenic	3354	ID=HMEL015683g1.t1-E1;Parent=HMEL015683g1.t1								
978	Hmel213020	873288	874132	+	0	NA	Intergenic	Intergenic	-16416	ID=HMEL011325g1.t1-E1;Parent=HMEL011325g1.t1								
325	Hmel207028	333359	334216	+	0	NA	Intergenic	Intergenic	-2816	ID=HMEL037758g1.t1-E1;Parent=HMEL037758g1.t1								
378	Hmel208051	641863	642664	+	0	NA	TTS (ID=HMEL008168g1.t1-E3;Parent=HMEL008168g1.t1)	-TTS (ID=HMEL008168g1.t1-E3;Parent=HMEL008168g1.t1)	503	ID=HMEL008168g1.t1-E3;Parent=HMEL008168g1.t1								
889	Hmel212013	691427	691832	+	0	NA	Intergenic	Intergenic	8255	ID=HMEL011957g2.t1-E1;Parent=HMEL011957g2.t1								
1233	Hmel216009	675644	675831	+	0	NA	TTS (ID=HMEL033496g1.t1-E1;Parent=HMEL033496g1.t1)	-TTS (ID=HMEL033496g1.t1-E1;Parent=HMEL033496g1.t1)	665	ID=HMEL033496g1.t1-E1;Parent=HMEL033496g1.t1								
540	Hmel210011	197226	197704	+	0	NA	promoter-TSS (ID=HMEL013312g3.t1-E1;Parent=HMEL013312g3.t1)	-promoter-TSS (ID=HMEL013312g3.t1-E1;Parent=HMEL013312g3.t1)	-309	ID=HMEL013312g3.t1-E1;Parent=HMEL013312g3.t1								
1162	Hmel215006	576247	577076	+	0	NA	Intergenic	Intergenic	6675	ID=HMEL005803g2.t1-E3;Parent=HMEL005803g2.t1								
1615	Hmel219003	3239816	3240763	+	0	NA	Intergenic	Intergenic	26527	ID=HMEL006179g1.t1-E1;Parent=HMEL006179g1.t1								
211	Hmel207002	5859931	5860759	+	0	NA	Intergenic	Intergenic	-14371	ID=HMEL037488g1.t1-E1;Parent=HMEL037488g1.t1								
684	Hmel211004	2695228	2695823	+	0	NA	Intergenic	Intergenic	-1439	ID=HMEL031098g1.t2-E1;Parent=HMEL031098g1.t2								
2073	Hmel205012	520791	521106	+	0	NA	Intergenic	Intergenic	-1092	ID=HMEL007212g1.t1-E6;Parent=HMEL007212g1.t1								
1732	Hmel220003	1259326	1260131	+	0	NA	Intergenic	Intergenic	-40015	ID=HMEL017017g1.t1-E1;Parent=HMEL017017g1.t1								
861	Hmel201019	649098	649589	+	0	NA	Intergenic	Intergenic	-3783	ID=HMEL033119g1.t1-E1;Parent=HMEL033119g1.t1								
337	Hmel208013	273618	273948	+	0	NA	Intergenic	Intergenic	-51776	ID=HMEL037847g1.t1-E1;Parent=HMEL037847g1.t1								
76	Hmel206009	2085381	2085991	+	0	NA	Intergenic	Intergenic	-4832	ID=HMEL010600g1.t1-E1;Parent=HMEL010600g1.t1								
1924	Hmel203030	11255	12429	+	0	NA	Intergenic	Intergenic	-2250	ID=HMEL007541g1.t1-E1;Parent=HMEL007541g1.t1								
982	Hmel213020	1078331	1078757	+	0	NA	Intergenic	Intergenic	-13340	ID=HMEL022201g1.t1-E1;Parent=HMEL022201g1.t1								
571	Hmel210011	2420948	2421491	+	0	NA	Intergenic	Intergenic	-3056	ID=HMEL030873g1.t1-E1;Parent=HMEL030873g1.t1								
1214	Hmel215047	915498	916056	+	0	NA	Intergenic	Intergenic	2558	ID=HMEL005156g1.t1-E5;Parent=HMEL005156g1.t1								
1190	Hmel215029	211272	211739	+	0	NA	Intergenic	Intergenic	8563	ID=HMEL005381g1.t2-E14;Parent=HMEL005381g1.t2								
389	Hmel208051	1546315	1546815	+	0	NA	Intergenic	Intergenic	4420	ID=HMEL004480g2.t1-E2;Parent=HMEL004480g2.t1								
1660	Hmel219005	221384	221920	+	0	NA	Intergenic	Intergenic	-3417	ID=HMEL009286g1.t1-E2;Parent=HMEL009286g1.t1								
1171	Hmel215006	1932219	1932621	+	0	NA	promoter-TSS (ID=HMEL002914g1.t1-E1;Parent=HMEL002914g1.t1)	-promoter-TSS (ID=HMEL002914g1.t1-E1;Parent=HMEL002914g1.t1)	-844	ID=HMEL002914g1.t1-E1;Parent=HMEL002914g1.t1								
1345	Hmel217004	3667936	3668286	+	0	NA	Intergenic	Intergenic	6600	ID=HMEL010416g1.t1-E6;Parent=HMEL010416g1.t1								
966	Hmel213012	274154	274567	+	0	NA	Intergenic	Intergenic	3263	ID=HMEL017997g1.t1-E2;Parent=HMEL017997g1.t1								
1123	Hmel214019	854382	855641	+	0	NA	TTS (ID=HMEL007877g1.t1-E2;Parent=HMEL007877g1.t1)	-TTS (ID=HMEL007877g1.t1-E2;Parent=HMEL007877g1.t1)	1618	ID=HMEL007877g1.t1-E2;Parent=HMEL007877g1.t1								
992	Hmel213025	131863	132396	+	0	NA	promoter-TSS (ID=HMEL031926g1.t1-E2;Parent=HMEL031926g1.t1)	-promoter-TSS (ID=HMEL031926g1.t1-E2;Parent=HMEL031926g1.t1)	-225	ID=HMEL031926g1.t1-E2;Parent=HMEL031926g1.t1								
236	Hmel207008	430815	431457	+	0	NA	Intergenic	Intergenic	-1058	ID=HMEL037529g1.t1-E1;Parent=HMEL037529g1.t1								
758	Hmel212001	775471	776205	+	0	NA	Intergenic	Intergenic	11808	ID=HMEL021973g1.t1-E7;Parent=HMEL021973g1.t1								
1954	Hmel203045	478488	478898	+	0	NA	Intergenic	Intergenic	8222	ID=HMEL002459g1.t1-E2;Parent=HMEL002459g1.t1								
218	Hmel207002	6328162	6328569	+	0	NA	Intergenic	Intergenic	-10018	ID=HMEL037497g1.t1-E1;Parent=HMEL037497g1.t1								
706	Hmel201011	2243689	2244553	+	0	NA	Intergenic	Intergenic	4447	ID=HMEL011434-RA-E2;Parent=HMEL011434-RA								
14	Hmel206006	286319	286744	+	0	NA	Intergenic	Intergenic	-4028	ID=HMEL036934g1.t1-E1;Parent=HMEL036934g1.t1								
1608	Hmel219003	2036959	2037655	+	0	NA	Intergenic	Intergenic	-2793	ID=HMEL010683g1.t1-E2;Parent=HMEL010683g1.t1								
234	Hmel207008	222907	224077	+	0	NA	Intergenic	Intergenic	-12811	ID=HMEL037520g1.t1-E1;Parent=HMEL037520g1.t1								
594	Hmel210011	3577025	3577457	+	0	NA	Intergenic	Intergenic	7808	ID=HMEL030900g1.t1-E1;Parent=HMEL030900g1.t1								
1438	Hmel218011	262879	263476	+	0	NA	Intergenic	Intergenic	2981	ID=HMEL034333g1.t1-E2;Parent=HMEL034333g1.t1								
1903	Hmel221017	433062	433525	+	0	NA	Intergenic	Intergenic	-35878	ID=HMEL035671g1.t1-E1;Parent=HMEL035671g1.t1								
1778	Hmel220005	2142021	2142224	+	0	NA	Intergenic	Intergenic	2012	ID=HMEL035127g1.t1-E1;Parent=HMEL035127g1.t1								
1859	Hmel221001	1569872	1570327	+	0	NA	promoter-TSS (ID=HMEL013511g2.t1-E1;Parent=HMEL013511g2.t1)	-promoter-TSS (ID=HMEL013511g2.t1-E1;Parent=HMEL013511g2.t1)	-650	ID=HMEL013511g2.t1-E1;Parent=HMEL013511g2.t1								
160	Hmel207002	1392882	1393415	+	0	NA	Intergenic	Intergenic	-1024	ID=HMEL011223-RA-E1;Parent=HMEL011223-RA								
98	Hmel206009	2989491	2989968	+	0	NA	promoter-TSS (ID=HMEL003211g1.t1-E1;Parent=HMEL003211g1.t1)	-promoter-TSS (ID=HMEL003211g1.t1-E1;Parent=HMEL003211g1.t1)	-324	ID=HMEL003211g1.t1-E1;Parent=HMEL003211g1.t1								
1048	Hmel213062	1165530	1166426	+	0	NA	Intergenic	Intergenic	-24169	ID=HMEL014870g1.t1-E1;Parent=HMEL014870g1.t1								
1278	Hmel216012	166995	168123	+	0	NA	Intergenic	Intergenic	16943	ID=HMEL011492g1.t1-E2;Parent=HMEL011492g1.t1								
1000	Hmel213035	225022	225257	+	0	NA	promoter-TSS (ID=HMEL018021g1.t1-E1;Parent=HMEL018021g1.t1)	-promoter-TSS (ID=HMEL018021g1.t1-E1;Parent=HMEL018021g1.t1)	-719	ID=HMEL018021g1.t1-E1;Parent=HMEL018021g1.t1								
1381	Hmel217020	304266	306128	+	0	NA	Intergenic	Intergenic	7422	ID=HMEL034054g1.t1-E2;Parent=HMEL034054g1.t1								
43	Hmel206009	449975	450714	+	0	NA	Intergenic	Intergenic	1906	ID=HMEL003893g1.t1-E1;Parent=HMEL003893g1.t1								
1061	Hmel213067	336843	337480	+	0	NA	Intergenic	Intergenic	12452	ID=HMEL032188g1.t1-E43;Parent=HMEL032188g1.t1								
2054	Hmel201007	1174342	1174906	+	0	NA	Intergenic	Intergenic	-20595	ID=HMEL003840g1.t1-E1;Parent=HMEL003840g1.t1								
1728	Hmel220003	1129965	1130488	+	0	NA	Intergenic	Intergenic	-8630	ID=HMEL017014g1.t1-E3;Parent=HMEL017014g1.t1								
193	Hmel207002	2376162	2376983	+	0	NA	Intergenic	Intergenic	-9310	ID=HMEL037401g1.t1-E1;Parent=HMEL037401g1.t1								
288	Hmel207021	1961378	1961908	+	0	NA	Intergenic	Intergenic	19927	ID=HMEL009406g1.t1-E3;Parent=HMEL009406g1.t1								
119	Hmel201009	1231369	1231807	+	0	NA	Intergenic	Intergenic	4655	ID=HMEL030144g1.t1-E1;Parent=HMEL030144g1.t1								
1555	Hmel218018	7360725	7360987	+	0	NA	Intergenic	Intergenic	-2197	ID=HMEL034478g1.t1-E1;Parent=HMEL034478g1.t1								
586	Hmel210011	3323398	3323990	+	0	NA	promoter-TSS (ID=HMEL015985g1.t1-E1;Parent=HMEL015985g1.t1)	-promoter-TSS (ID=HMEL015985g1.t1-E1;Parent=HMEL015985g1.t1)	-27	ID=HMEL015985g1.t1-E1;Parent=HMEL015985g1.t1								
410	Hmel209005	295275	295739	+	0	NA	Intergenic	Intergenic	-18557	ID=HMEL018069g1.t1-E1;Parent=HMEL018069g1.t1								
999	Hmel213035	113868	114813	+	0	NA	TTS (ID=HMEL017145g2.t1-E1;Parent=HMEL017145g2.t1)	-TTS (ID=HMEL017145g2.t1-E1;Parent=HMEL017145g2.t1)	135	ID=HMEL017145g2.t2-E1;Parent=HMEL017145g2.t2								
1180	Hmel215028	6613	6904	+	0	NA	Intergenic	Intergenic	4471	ID=HMEL013591g1.t1-E1;Parent=HMEL013591g1.t1								
430	Hmel209007	959728	960673	+	0	NA	Intergenic	Intergenic	-1049	ID=HMEL009457g1.t1-E1;Parent=HMEL009457g1.t1								
1185	Hmel215028	716938	717335	+	0	NA	promoter-TSS (ID=HMEL008879g2.t1-E4;Parent=HMEL008879g2.t1)	-promoter-TSS (ID=HMEL008879g2.t1-E4;Parent=HMEL008879g2.t1)	11	ID=HMEL008879g2.t1-E4;Parent=HMEL008879g2.t1								
447	Hmel201002	1021954	1022523	+	0	NA	Intergenic	Intergenic	-2706	ID=HMEL030026g1.t1-E2;Parent=HMEL030026g1.t1								
1446	Hmel218016	13159	14282	+	0	NA	Intergenic	Intergenic	-21493	ID=HMEL034347g1.t1-E1;Parent=HMEL034347g1.t1								
1741	Hmel220003	1556522	1557084	+	0	NA	Intergenic	Intergenic	1706	ID=HMEL034998g1.t1-E1;Parent=HMEL034998g1.t1								
2118	Hmel205022	165844	166599	+	0	NA	Intergenic	Intergenic	-1948	ID=HMEL016722g1.t1-E1;Parent=HMEL016722g1.t1								
415	Hmel209005	820819	821518	+	0	NA	Intergenic	Intergenic	1103	ID=HMEL030332g1.t1-E2;Parent=HMEL030332g1.t1								
1130	Hmel214022	268575	268803	+	0	NA	Intergenic	Intergenic	-9914	ID=HMEL032489g1.t1-E2;Parent=HMEL032489g1.t1								
1315	Hmel217004	1146626	1146864	+	0	NA	Intergenic	Intergenic	-27165	ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1								
189	Hmel207002	2243480	2244515	+	0	NA	Intergenic	Intergenic	2153	ID=HMEL037399g1.t1-E2;Parent=HMEL037399g1.t1								
1292	Hmel202006	1240202	1240387	+	0	NA	Intergenic	Intergenic	-1742	ID=HMEL006868g2.t1-E1;Parent=HMEL006868g2.t1								
1356	Hmel217014	523761	523949	+	0	NA	Intergenic	Intergenic	16266	ID=HMEL021836g1.t1-E5;Parent=HMEL021836g1.t1								
480	Hmel201009	5989292	5989556	+	0	NA	Intergenic	Intergenic	-4051	ID=HMEL030301g1.t1-E1;Parent=HMEL030301g1.t1								
107	Hmel206009	4450407	4450761	+	0	NA	Intergenic	Intergenic	-3758	ID=HMEL037089g1.t1-E1;Parent=HMEL037089g1.t1								
438	Hmel209007	1692793	1693025	+	0	NA	Intergenic	Intergenic	-10303	ID=HMEL015713-RA-E1;Parent=HMEL015713-RA								
1153	Hmel214029	1323393	1323764	+	0	NA	Intergenic	Intergenic	8793	ID=HMEL032629g1.t1-E1;Parent=HMEL032629g1.t1								
1871	Hmel221009	57764	58204	+	0	NA	Intergenic	Intergenic	11231	ID=HMEL035515g1.t1-E2;Parent=HMEL035515g1.t1								
87	Hmel206009	2532470	2532717	+	0	NA	Intergenic	Intergenic	25573	ID=HMEL005355g1.t1-E5;Parent=HMEL005355g1.t1								
1022	Hmel213049	415490	415666	+	0	NA	Intergenic	Intergenic	-21133	ID=HMEL032070g1.t1-E1;Parent=HMEL032070g1.t1								
1832	Hmel202006	6443296	6443515	+	0	NA	promoter-TSS (ID=HMEL033422g1.t1-E1;Parent=HMEL033422g1.t1)	-promoter-TSS (ID=HMEL033422g1.t1-E1;Parent=HMEL033422g1.t1)	-712	ID=HMEL033422g1.t1-E1;Parent=HMEL033422g1.t1								
953	Hmel201019	1305880	1306757	+	0	NA	Intergenic	Intergenic	4071	ID=HMEL003933g1.t1-E3;Parent=HMEL003933g1.t1								
221	Hmel207002	6409617	6409928	+	0	NA	Intergenic	Intergenic	-4464	ID=HMEL037498g1.t1-E1;Parent=HMEL037498g1.t1								
1424	Hmel218005	1016906	1018973	+	0	NA	promoter-TSS (ID=HMEL006740g3.t1-E1;Parent=HMEL006740g3.t1)	-promoter-TSS (ID=HMEL006740g3.t1-E1;Parent=HMEL006740g3.t1)	414	ID=HMEL006741g1.t1-E1;Parent=HMEL006741g1.t1								
1560	Hmel218018	7703539	7703898	+	0	NA	Intergenic	Intergenic	2285	ID=HMEL016588g3.t1-E4;Parent=HMEL016588g3.t1								
417	Hmel209005	841745	841946	+	0	NA	Intergenic	Intergenic	-2528	ID=HMEL030334g1.t1-E1;Parent=HMEL030334g1.t1								
784	Hmel212001	2658599	2659902	+	0	NA	promoter-TSS (ID=HMEL016834g1.t1-E1;Parent=HMEL016834g1.t1)	-promoter-TSS (ID=HMEL016834g1.t1-E1;Parent=HMEL016834g1.t1)	-618	ID=HMEL016834g1.t1-E1;Parent=HMEL016834g1.t1								
1762	Hmel220005	700475	701060	+	0	NA	Intergenic	Intergenic	3528	ID=HMEL012263g3.t1-E4;Parent=HMEL012263g3.t1								
260	Hmel207021	478234	479188	+	0	NA	Intergenic	Intergenic	1900	ID=HMEL037664g1.t1-E2;Parent=HMEL037664g1.t1								
2061	Hmel205005	1237739	1237952	+	0	NA	Intergenic	Intergenic	1726	ID=HMEL008250g1.t1-E1;Parent=HMEL008250g1.t1								
1844	Hmel220017	831741	832134	+	0	NA	Intergenic	Intergenic	4312	ID=HMEL035363g1.t1-E2;Parent=HMEL035363g1.t1								
1530	Hmel218018	5728915	5730252	+	0	NA	TTS (ID=HMEL034452g1.t1-E1;Parent=HMEL034452g1.t1)	-TTS (ID=HMEL034452g1.t1-E1;Parent=HMEL034452g1.t1)	272	ID=HMEL034452g1.t1-E1;Parent=HMEL034452g1.t1								
762	Hmel212001	1585384	1586162	+	0	NA	Intergenic	Intergenic	-2491	ID=HMEL031353g1.t2-E1;Parent=HMEL031353g1.t2								
1144	Hmel214029	170479	170862	+	0	NA	Intergenic	Intergenic	5115	ID=HMEL020208g1.t1-E5;Parent=HMEL020208g1.t1								
734	Hmel211012	1407486	1408625	+	0	NA	Intergenic	Intergenic	-10662	ID=HMEL004914g1.t1-E1;Parent=HMEL004914g1.t1								
1723	Hmel220003	941144	941328	+	0	NA	Intergenic	Intergenic	-6487	ID=HMEL017007g1.t2-E4;Parent=HMEL017007g1.t2								
2047	Hmel204036	2428	4104	+	0	NA	Intergenic	Intergenic	-24313	ID=HMEL036549g1.t1-E1;Parent=HMEL036549g1.t1								
144	Hmel207002	307995	308713	+	0	NA	promoter-TSS (ID=HMEL016130g2.t1-E1;Parent=HMEL016130g2.t1)	-promoter-TSS (ID=HMEL016130g2.t1-E1;Parent=HMEL016130g2.t1)	-73	ID=HMEL016130g2.t1-E1;Parent=HMEL016130g2.t1								
1440	Hmel218011	332014	332842	+	0	NA	Intergenic	Intergenic	-1366	ID=HMEL034336g1.t1-E1;Parent=HMEL034336g1.t1								
381	Hmel208051	685727	686163	+	0	NA	Intergenic	Intergenic	15301	ID=HMEL008168g1.t1-E6;Parent=HMEL008168g1.t1								
1471	Hmel218018	379777	380140	+	0	NA	Intergenic	Intergenic	107183	ID=HMEL017487-RA-E1;Parent=HMEL017487-RA								
1814	Hmel220009	2196	3004	+	0	NA	TTS (ID=HMEL002238g1.t1-E5;Parent=HMEL002238g1.t1)	-TTS (ID=HMEL002238g1.t1-E5;Parent=HMEL002238g1.t1)	1053	ID=HMEL002238g1.t1-E5;Parent=HMEL002238g1.t1								
906	Hmel212013	2133853	2134131	+	0	NA	Intergenic	Intergenic	-2458	ID=HMEL013037g1.t1-E3;Parent=HMEL013037g1.t1								
1349	Hmel217004	4378514	4379041	+	0	NA	Intergenic	Intergenic	1856	ID=HMEL010081g1.t1-E6;Parent=HMEL010081g1.t1								
177	Hmel207002	1708707	1709034	+	0	NA	Intergenic	Intergenic	-3440	ID=HMEL011242g1.t2-E1;Parent=HMEL011242g1.t2								
373	Hmel208050	64405	64735	+	0	NA	Intergenic	Intergenic	1600	ID=HMEL038130g1.t1-E1;Parent=HMEL038130g1.t1								
2078	Hmel205012	782116	782678	+	0	NA	Intergenic	Intergenic	-10029	ID=HMEL036668g1.t1-E1;Parent=HMEL036668g1.t1								
773	Hmel212001	1998825	1999526	+	0	NA	Intergenic	Intergenic	-3391	ID=HMEL016806g1.t1-E2;Parent=HMEL016806g1.t1								
1247	Hmel216011	903651	904226	+	0	NA	Intergenic	Intergenic	-9064	ID=HMEL011145g1.t1-E1;Parent=HMEL011145g1.t1								
22	Hmel201009	221712	222309	+	0	NA	Intergenic	Intergenic	6261	ID=HMEL030122g1.t1-E1;Parent=HMEL030122g1.t1								
205	Hmel207002	5335793	5336128	+	0	NA	Intergenic	Intergenic	9521	ID=HMEL004443g3.t1-E3;Parent=HMEL004443g3.t1								
1309	Hmel217004	136064	137116	+	0	NA	TTS (ID=HMEL007347g1.t1-E2;Parent=HMEL007347g1.t1)	-TTS (ID=HMEL007347g1.t1-E2;Parent=HMEL007347g1.t1)	417	ID=HMEL007347g1.t2-E2;Parent=HMEL007347g1.t2								
1752	Hmel220003	2494208	2494472	+	0	NA	Intergenic	Intergenic	10081	ID=HMEL012550g2.t1-E3;Parent=HMEL012550g2.t1								
1576	Hmel218018	8221399	8221790	+	0	NA	promoter-TSS (ID=HMEL034489g1.t1-E3;Parent=HMEL034489g1.t1)	-promoter-TSS (ID=HMEL034489g1.t1-E3;Parent=HMEL034489g1.t1)	34	ID=HMEL034489g1.t1-E3;Parent=HMEL034489g1.t1								
1622	Hmel219003	3742065	3742728	+	0	NA	Intergenic	Intergenic	5081	ID=HMEL002087g1.t1-E1;Parent=HMEL002087g1.t1								
1260	Hmel216011	1671330	1671935	+	0	NA	TTS (ID=HMEL033563g1.t1-E1;Parent=HMEL033563g1.t1)	-TTS (ID=HMEL033563g1.t1-E1;Parent=HMEL033563g1.t1)	1247	ID=HMEL033563g1.t1-E1;Parent=HMEL033563g1.t1								
874	Hmel212011	1153248	1153900	+	0	NA	Intergenic	Intergenic	15665	ID=HMEL031614g1.t1-E1;Parent=HMEL031614g1.t1								
975	Hmel213020	216401	217634	+	0	NA	Intergenic	Intergenic	-1685	ID=HMEL004896g1.t1-E1;Parent=HMEL004896g1.t1								
493	Hmel210004	5933242	5933953	+	0	NA	Intergenic	Intergenic	9562	ID=HMEL009013g1.t2-E1;Parent=HMEL009013g1.t2								
1708	Hmel219018	1596588	1598159	+	0	NA	Intergenic	Intergenic	-12574	ID=HMEL034918g1.t1-E1;Parent=HMEL034918g1.t1								
1436	Hmel218011	207173	207448	+	0	NA	Intergenic	Intergenic	20191	ID=HMEL034332g1.t1-E10;Parent=HMEL034332g1.t1								
1911	Hmel221030	69767	70892	+	0	NA	TTS (ID=HMEL009822g1.t1-E6;Parent=HMEL009822g1.t1)	-TTS (ID=HMEL009822g1.t1-E6;Parent=HMEL009822g1.t1)	245	ID=HMEL009822g1.t1-E8;Parent=HMEL009822g1.t1								
1591	Hmel219003	1364597	1366036	+	0	NA	Intergenic	Intergenic	3332	ID=HMEL034600g1.t1-E2;Parent=HMEL034600g1.t1								
1677	Hmel219014	647067	648306	+	0	NA	Intergenic	Intergenic	-2399	ID=HMEL005617g1.t1-E1;Parent=HMEL005617g1.t1								
1320	Hmel217004	1380992	1381579	+	0	NA	promoter-TSS (ID=HMEL005861g5.t1-E2;Parent=HMEL005861g5.t1)	-promoter-TSS (ID=HMEL005861g5.t1-E2;Parent=HMEL005861g5.t1)	-249	ID=HMEL005861g5.t1-E2;Parent=HMEL005861g5.t1								
1026	Hmel213050	7293	7915	+	0	NA	NA	NA	NA	NA								
1390	Hmel218003	1395107	1395731	+	0	NA	Intergenic	Intergenic	-33970	ID=HMEL003383g1.t2-E1;Parent=HMEL003383g1.t2								
1993	Hmel203069	379308	379543	+	0	NA	Intergenic	Intergenic	-4930	ID=HMEL036176g1.t1-E3;Parent=HMEL036176g1.t1								
1893	Hmel221012	2683663	2684108	+	0	NA	Intergenic	Intergenic	-15499	ID=HMEL008788g1.t1-E1;Parent=HMEL008788g1.t1								
1469	Hmel218018	353479	353742	+	0	NA	Intergenic	Intergenic	133531	ID=HMEL017487-RA-E1;Parent=HMEL017487-RA								
1499	Hmel202006	2032056	2032556	+	0	NA	Intergenic	Intergenic	1575	ID=HMEL014355g1.t1-E3;Parent=HMEL014355g1.t1								
1646	Hmel219003	6300113	6300556	+	0	NA	Intergenic	Intergenic	-14798	ID=HMEL034693g1.t1-E1;Parent=HMEL034693g1.t1								
400	Hmel201009	4508332	4508873	+	0	NA	Intergenic	Intergenic	4702	ID=HMEL030250g1.t1-E2;Parent=HMEL030250g1.t1								
534	Hmel210009	668150	668496	+	0	NA	exon (ID=HMEL030807g1.t1-E1;Parent=HMEL030807g1.t1, exon 1 of 1)	-exon (ID=HMEL030807g1.t1-E1;Parent=HMEL030807g1.t1, exon 1 of 1)	131	ID=HMEL030807g1.t1-E1;Parent=HMEL030807g1.t1								
746	Hmel201011	2590875	2591233	+	0	NA	TTS (ID=HMEL011985g1.t1-E2;Parent=HMEL011985g1.t1)	-TTS (ID=HMEL011985g1.t1-E2;Parent=HMEL011985g1.t1)	867	ID=HMEL011985g1.t1-E2;Parent=HMEL011985g1.t1								
919	Hmel212013	3186312	3187220	+	0	NA	Intergenic	Intergenic	-3592	ID=HMEL012337g2.t1-E1;Parent=HMEL012337g2.t1								
744	Hmel211015	213842	214212	+	0	NA	promoter-TSS (ID=HMEL015415g1.t1-E3;Parent=HMEL015415g1.t1)	-promoter-TSS (ID=HMEL015415g1.t1-E3;Parent=HMEL015415g1.t1)	-965	ID=HMEL015415g1.t1-E3;Parent=HMEL015415g1.t1								
1268	Hmel216011	1985617	1986383	+	0	NA	Intergenic	Intergenic	5758	ID=HMEL033573g1.t1-E2;Parent=HMEL033573g1.t1								
633	Hmel211002	64700	65580	+	0	NA	Intergenic	Intergenic	-3357	ID=HMEL015339g1.t1-E1;Parent=HMEL015339g1.t1								
1372	Hmel217018	949646	950291	+	0	NA	promoter-TSS (ID=HMEL033980g1.t1-E6;Parent=HMEL033980g1.t1)	-promoter-TSS (ID=HMEL033980g1.t1-E6;Parent=HMEL033980g1.t1)	702	ID=HMEL033980g1.t1-E5;Parent=HMEL033980g1.t1								
151	Hmel201009	1811796	1813069	+	0	NA	Intergenic	Intergenic	-5437	ID=HMEL015815g1.t1-E2;Parent=HMEL015815g1.t1								
1977	Hmel203067	479564	479731	+	0	NA	Intergenic	Intergenic	-3545	ID=HMEL025034-RC-E1;Parent=HMEL025034-RC								
2023	Hmel204017	65189	65564	+	0	NA	Intergenic	Intergenic	3641	ID=HMEL036414g1.t1-E1;Parent=HMEL036414g1.t1								
1669	Hmel219012	334022	334454	+	0	NA	Intergenic	Intergenic	-40342	ID=HMEL034766g1.t1-E1;Parent=HMEL034766g1.t1								
1825	Hmel220014	437360	438383	+	0	NA	Intergenic	Intergenic	-10295	ID=HMEL022008g1.t1-E1;Parent=HMEL022008g1.t1								
1285	Hmel216013	329955	330796	+	0	NA	promoter-TSS (ID=HMEL017538g1.t2-E1;Parent=HMEL017538g1.t2)	-promoter-TSS (ID=HMEL017538g1.t2-E1;Parent=HMEL017538g1.t2)	-698	ID=HMEL017538g1.t2-E1;Parent=HMEL017538g1.t2								
1952	Hmel201005	532606	532833	+	0	NA	Intergenic	Intergenic	3646	ID=HMEL007401g1.t1-E10;Parent=HMEL007401g1.t1								
287	Hmel207021	1951375	1951760	+	0	NA	Intergenic	Intergenic	9851	ID=HMEL009406g1.t1-E3;Parent=HMEL009406g1.t1								
475	Hmel210004	1714598	1715052	+	0	NA	Intergenic	Intergenic	-24102	ID=HMEL002901-RA-E1;Parent=HMEL002901-RA								
932	Hmel212014	179814	180696	+	0	NA	Intergenic	Intergenic	-2060	ID=HMEL014810g1.t1-E3;Parent=HMEL014810g1.t1								
1549	Hmel218018	6866691	6867043	+	0	NA	Intergenic	Intergenic	2347	ID=HMEL015839g1.t1-E1;Parent=HMEL015839g1.t1								
1959	Hmel203045	720422	721270	+	0	NA	Intergenic	Intergenic	15874	ID=HMEL036076g1.t2-E1;Parent=HMEL036076g1.t2								
515	Hmel210005	538691	539805	+	0	NA	promoter-TSS (ID=HMEL014099g1.t1-E6;Parent=HMEL014099g1.t1)	-promoter-TSS (ID=HMEL014099g1.t1-E6;Parent=HMEL014099g1.t1)	-70	ID=HMEL014099g1.t1-E6;Parent=HMEL014099g1.t1								
1525	Hmel218018	5470395	5470691	+	0	NA	Intergenic	Intergenic	2336	ID=HMEL034446g1.t1-E2;Parent=HMEL034446g1.t1								
1242	Hmel216011	581907	582467	+	0	NA	Intergenic	Intergenic	24360	ID=HMEL033543g1.t1-E2;Parent=HMEL033543g1.t1								
