PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_melpUnique_5thdown.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_melpUnique_5thdown_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4671	Hmel219005	927632	928543	+	0	NA	Intergenic	Intergenic	-13697	ID=HMEL034722g1.t1-E1;Parent=HMEL034722g1.t1								
5084	Hmel220017	703950	704834	+	0	NA	Intergenic	Intergenic	-12990	ID=HMEL035361g1.t1-E1;Parent=HMEL035361g1.t1								
5073	Hmel220014	804670	805328	+	0	NA	Intergenic	Intergenic	-6937	ID=HMEL013887g1.t1-E1;Parent=HMEL013887g1.t1								
4519	Hmel219003	362136	363246	+	0	NA	Intergenic	Intergenic	-3613	ID=HMEL002349g1.t1-E1;Parent=HMEL002349g1.t1								
4018	Hmel217018	152413	152600	+	0	NA	Intergenic	Intergenic	-2233	ID=HMEL033952g1.t1-E1;Parent=HMEL033952g1.t1								
3571	Hmel215034	206466	206733	+	0	NA	Intergenic	Intergenic	-44231	ID=HMEL022129g1.t1-E1;Parent=HMEL022129g1.t1								
1172	Hmel206009	4157550	4158105	+	0	NA	TTS (ID=HMEL037073g1.t1-E17;Parent=HMEL037073g1.t1)	-TTS (ID=HMEL037073g1.t1-E17;Parent=HMEL037073g1.t1)	275	ID=HMEL037073g1.t4-E17;Parent=HMEL037073g1.t4								
2510	Hmel211015	490442	491741	+	0	NA	Intergenic	Intergenic	13075	ID=HMEL015397g1.t1-E1;Parent=HMEL015397g1.t1								
2458	Hmel211012	1190559	1191205	+	0	NA	Intergenic	Intergenic	22815	ID=HMEL031229g1.t1-E2;Parent=HMEL031229g1.t1								
834	Hmel205005	509171	510299	+	0	NA	Intergenic	Intergenic	-2083	ID=HMEL016025g1.t2-E3;Parent=HMEL016025g1.t2								
4912	Hmel220005	1828464	1828712	+	0	NA	Intergenic	Intergenic	1190	ID=HMEL035109g1.t1-E9;Parent=HMEL035109g1.t1								
285	Hmel201011	2620303	2621046	+	0	NA	Intergenic	Intergenic	5360	ID=HMEL011986g1.t1-E5;Parent=HMEL011986g1.t1								
4397	Hmel218018	5495602	5496521	+	0	NA	Intergenic	Intergenic	-22866	ID=HMEL034446g1.t1-E1;Parent=HMEL034446g1.t1								
2441	Hmel211012	502853	502991	+	0	NA	Intergenic	Intergenic	5490	ID=HMEL010326g1.t1-E24;Parent=HMEL010326g1.t1								
5171	Hmel221012	1346754	1347604	+	0	NA	promoter-TSS (ID=HMEL006376g2.t1-E2;Parent=HMEL006376g2.t1)	-promoter-TSS (ID=HMEL006376g2.t1-E2;Parent=HMEL006376g2.t1)	-3	ID=HMEL006376g2.t1-E2;Parent=HMEL006376g2.t1								
2414	Hmel211009	466762	467963	+	0	NA	Intergenic	Intergenic	-5288	ID=HMEL006554g1.t1-E2;Parent=HMEL006554g1.t1								
1216	Hmel206012	1914650	1914921	+	0	NA	Intergenic	Intergenic	2397	ID=HMEL022073g2.t1-E3;Parent=HMEL022073g2.t1								
4657	Hmel219003	7321766	7322125	+	0	NA	Intergenic	Intergenic	1128	ID=HMEL003753g1.t1-E1;Parent=HMEL003753g1.t1								
3879	Hmel216016	346057	346455	+	0	NA	Intergenic	Intergenic	3530	ID=HMEL033668g1.t1-E4;Parent=HMEL033668g1.t1								
4423	Hmel218018	6538888	6539209	+	0	NA	Intergenic	Intergenic	12932	ID=HMEL034460g1.t1-E2;Parent=HMEL034460g1.t1								
2194	Hmel210011	567570	568005	+	0	NA	promoter-TSS (ID=HMEL013345g1.t1-E15;Parent=HMEL013345g1.t1)	-promoter-TSS (ID=HMEL013345g1.t1-E15;Parent=HMEL013345g1.t1)	-793	ID=HMEL013345g1.t2-E15;Parent=HMEL013345g1.t2								
2285	Hmel210011	4920983	4922032	+	0	NA	promoter-TSS (ID=HMEL006982g1.t1-E1;Parent=HMEL006982g1.t1)	-promoter-TSS (ID=HMEL006982g1.t1-E1;Parent=HMEL006982g1.t1)	-168	ID=HMEL006982g1.t3-E1;Parent=HMEL006982g1.t3								
3092	Hmel213051	301088	302650	+	0	NA	Intergenic	Intergenic	-16483	ID=HMEL032089g1.t1-E1;Parent=HMEL032089g1.t1								
1135	Hmel206009	2620091	2620541	+	0	NA	Intergenic	Intergenic	-37774	ID=HMEL037042g1.t1-E1;Parent=HMEL037042g1.t1								
4198	Hmel218006	59409	59589	+	0	NA	Intergenic	Intergenic	-1333	ID=HMEL005285g2.t1-E1;Parent=HMEL005285g2.t1								
2864	Hmel213004	355035	355305	+	0	NA	Intergenic	Intergenic	-12579	ID=HMEL031769g1.t1-E1;Parent=HMEL031769g1.t1								
96	Hmel201007	746908	748281	+	0	NA	Intergenic	Intergenic	9058	ID=HMEL030096g1.t1-E5;Parent=HMEL030096g1.t1								
1667	Hmel208021	393011	393318	+	0	NA	TTS (ID=HMEL014963g2.t1-E7;Parent=HMEL014963g2.t1)	-TTS (ID=HMEL014963g2.t1-E7;Parent=HMEL014963g2.t1)	157	ID=HMEL014963g2.t1-E7;Parent=HMEL014963g2.t1								
3836	Hmel216011	2634765	2635037	+	0	NA	Intergenic	Intergenic	7994	ID=HMEL033590g1.t1-E4;Parent=HMEL033590g1.t1								
2114	Hmel210004	7356308	7356789	+	0	NA	Intergenic	Intergenic	4243	ID=HMEL004083g1.t1-E3;Parent=HMEL004083g1.t1								
5085	Hmel220017	767521	767671	+	0	NA	Intergenic	Intergenic	48555	ID=HMEL035362g1.t1-E2;Parent=HMEL035362g1.t1								
569	Hmel203048	131004	131676	+	0	NA	promoter-TSS (ID=HMEL036085g1.t1-E1;Parent=HMEL036085g1.t1)	-promoter-TSS (ID=HMEL036085g1.t1-E1;Parent=HMEL036085g1.t1)	-312	ID=HMEL036085g1.t1-E1;Parent=HMEL036085g1.t1								
4269	Hmel218018	462147	462784	+	0	NA	Intergenic	Intergenic	24676	ID=HMEL017487-RA-E1;Parent=HMEL017487-RA								
3111	Hmel213052	165430	166762	+	0	NA	Intergenic	Intergenic	2067	ID=HMEL009884g2.t1-E1;Parent=HMEL009884g2.t1								
1396	Hmel207002	5509115	5509895	+	0	NA	Intergenic	Intergenic	3763	ID=HMEL005504g1.t1-E1;Parent=HMEL005504g1.t1								
1760	Hmel209001	671595	671843	+	0	NA	Intergenic	Intergenic	38747	ID=HMEL038222g1.t1-E1;Parent=HMEL038222g1.t1								
391	Hmel202006	3887055	3887383	+	0	NA	promoter-TSS (ID=HMEL010629g1.t1-E1;Parent=HMEL010629g1.t1)	-promoter-TSS (ID=HMEL010629g1.t1-E1;Parent=HMEL010629g1.t1)	-110	ID=HMEL010629g1.t1-E1;Parent=HMEL010629g1.t1								
2033	Hmel210004	3506130	3506789	+	0	NA	promoter-TSS (ID=HMEL004370g1.t1-E4;Parent=HMEL004370g1.t1)	-promoter-TSS (ID=HMEL004370g1.t1-E4;Parent=HMEL004370g1.t1)	387	ID=HMEL004370g1.t1-E3;Parent=HMEL004370g1.t1								
5188	Hmel221012	3053185	3054972	+	0	NA	exon (ID=HMEL007231g1.t1-E4;Parent=HMEL007231g1.t1, exon 1 of 1)	-exon (ID=HMEL007231g1.t1-E4;Parent=HMEL007231g1.t1, exon 1 of 1)	584	ID=HMEL007231g1.t1-E4;Parent=HMEL007231g1.t1								
5251	Hmel203036	2013	2317	+	0	NA	Intergenic	Intergenic	-2101	ID=HMEL004837g1.t1-E4;Parent=HMEL004837g1.t1								
4335	Hmel218018	2517661	2517987	+	0	NA	Intergenic	Intergenic	-15282	ID=HMEL017830g1.t1-E1;Parent=HMEL017830g1.t1								
5048	Hmel220011	461992	462150	+	0	NA	promoter-TSS (ID=HMEL035285g1.t1-E2;Parent=HMEL035285g1.t1)	-promoter-TSS (ID=HMEL035285g1.t1-E2;Parent=HMEL035285g1.t1)	85	ID=HMEL035285g1.t1-E2;Parent=HMEL035285g1.t1								
2676	Hmel212001	6242036	6242281	+	0	NA	Intergenic	Intergenic	-13320	ID=HMEL016387g1.t1-E1;Parent=HMEL016387g1.t1								
180	Hmel201009	2901128	2901941	+	0	NA	promoter-TSS (ID=HMEL030197g1.t1-E3;Parent=HMEL030197g1.t1)	-promoter-TSS (ID=HMEL030197g1.t1-E3;Parent=HMEL030197g1.t1)	-22	ID=HMEL030197g1.t1-E3;Parent=HMEL030197g1.t1								
1375	Hmel207002	4548054	4549997	+	0	NA	Intergenic	Intergenic	2893	ID=HMEL037454g1.t1-E3;Parent=HMEL037454g1.t1								
2907	Hmel213012	338086	338897	+	0	NA	promoter-TSS (ID=HMEL031828g1.t1-E3;Parent=HMEL031828g1.t1)	-promoter-TSS (ID=HMEL031828g1.t1-E3;Parent=HMEL031828g1.t1)	-370	ID=HMEL031828g1.t1-E3;Parent=HMEL031828g1.t1								
4353	Hmel218018	3812626	3813360	+	0	NA	Intergenic	Intergenic	-58626	ID=HMEL003237g1.t1-E1;Parent=HMEL003237g1.t1								
4097	Hmel218003	458986	460258	+	0	NA	Intergenic	Intergenic	-12888	ID=HMEL034211g1.t1-E1;Parent=HMEL034211g1.t1								
1877	Hmel209007	1836929	1837266	+	0	NA	Intergenic	Intergenic	-1392	ID=HMEL006652g1.t1-E1;Parent=HMEL006652g1.t1								
2939	Hmel213020	213764	213960	+	0	NA	Intergenic	Intergenic	1470	ID=HMEL004896g1.t1-E1;Parent=HMEL004896g1.t1								
246	Hmel201011	912986	913703	+	0	NA	Intergenic	Intergenic	3204	ID=HMEL033029g1.t1-E3;Parent=HMEL033029g1.t1								
2227	Hmel210011	2874467	2874784	+	0	NA	Intergenic	Intergenic	4688	ID=HMEL015950g1.t1-E2;Parent=HMEL015950g1.t1								
4001	Hmel217014	451872	452675	+	0	NA	promoter-TSS (ID=HMEL012798g1.t1-E1;Parent=HMEL012798g1.t1)	-promoter-TSS (ID=HMEL012798g1.t1-E1;Parent=HMEL012798g1.t1)	-587	ID=HMEL012798g1.t1-E1;Parent=HMEL012798g1.t1								
1168	Hmel206009	4089126	4089417	+	0	NA	promoter-TSS (ID=HMEL015776g1.t1-E1;Parent=HMEL015776g1.t1)	-promoter-TSS (ID=HMEL015776g1.t1-E1;Parent=HMEL015776g1.t1)	-371	ID=HMEL037070g1.t1-E1;Parent=HMEL037070g1.t1								
3241	Hmel213067	192090	192591	+	0	NA	Intergenic	Intergenic	5388	ID=HMEL032184g1.t1-E2;Parent=HMEL032184g1.t1								
4102	Hmel218003	469848	470247	+	0	NA	Intergenic	Intergenic	15667	ID=HMEL003857g1.t1-E13;Parent=HMEL003857g1.t1								
4323	Hmel218018	2080352	2080582	+	0	NA	TTS (ID=HMEL016189g1.t1-E1;Parent=HMEL016189g1.t1)	-TTS (ID=HMEL016189g1.t1-E1;Parent=HMEL016189g1.t1)	852	ID=HMEL016189g1.t1-E1;Parent=HMEL016189g1.t1								
536	Hmel203033	490756	491092	+	0	NA	Intergenic	Intergenic	3635	ID=HMEL036038g1.t1-E4;Parent=HMEL036038g1.t1								
4661	Hmel219005	240095	240814	+	0	NA	Intergenic	Intergenic	-2785	ID=HMEL009286g1.t1-E1;Parent=HMEL009286g1.t1								
1767	Hmel209001	1098088	1099179	+	0	NA	Intergenic	Intergenic	-2925	ID=HMEL007018g1.t2-E2;Parent=HMEL007018g1.t2								
1653	Hmel208019	708642	708780	+	0	NA	Intergenic	Intergenic	4543	ID=HMEL037925g1.t1-E2;Parent=HMEL037925g1.t1								
2237	Hmel210011	3202285	3202530	+	0	NA	Intergenic	Intergenic	-1898	ID=HMEL015978g1.t1-E1;Parent=HMEL015978g1.t1								
5186	Hmel221012	2976503	2977019	+	0	NA	TTS (ID=HMEL007235g1.t1-E3;Parent=HMEL007235g1.t1)	-TTS (ID=HMEL007235g1.t1-E3;Parent=HMEL007235g1.t1)	831	ID=HMEL007235g1.t1-E3;Parent=HMEL007235g1.t1								
1688	Hmel208021	933555	934609	+	0	NA	Intergenic	Intergenic	-2564	ID=HMEL021682g1.t1-E2;Parent=HMEL021682g1.t1								
3311	Hmel213071	310967	311675	+	0	NA	promoter-TSS (ID=HMEL009308g1.t1-E5;Parent=HMEL009308g1.t1)	-promoter-TSS (ID=HMEL009308g1.t1-E5;Parent=HMEL009308g1.t1)	600	ID=HMEL009308g1.t1-E4;Parent=HMEL009308g1.t1								
1458	Hmel207008	379164	379681	+	0	NA	Intergenic	Intergenic	-6183	ID=HMEL017665g1.t1-E1;Parent=HMEL017665g1.t1								
2958	Hmel213022	313919	314406	+	0	NA	Intergenic	Intergenic	5184	ID=HMEL007072g3.t1-E1;Parent=HMEL007072g3.t1								
444	Hmel202006	4226440	4229113	+	0	NA	promoter-TSS (ID=HMEL009232g1.t1-E8;Parent=HMEL009232g1.t1)	-promoter-TSS (ID=HMEL009232g1.t1-E8;Parent=HMEL009232g1.t1)	-82	ID=HMEL009232g1.t1-E8;Parent=HMEL009232g1.t1								
508	Hmel203011	34408	35128	+	0	NA	Intergenic	Intergenic	-1736	ID=HMEL015572g2.t1-E4;Parent=HMEL015572g2.t1								
1336	Hmel207002	2537421	2538218	+	0	NA	Intergenic	Intergenic	6575	ID=HMEL010310g1.t1-E1;Parent=HMEL010310g1.t1								
4025	Hmel217018	443850	444516	+	0	NA	Intergenic	Intergenic	6159	ID=HMEL033963g1.t1-E3;Parent=HMEL033963g1.t1								
3260	Hmel213068	24736	24920	+	0	NA	Intergenic	Intergenic	-7590	ID=HMEL021035g1.t1-E1;Parent=HMEL021035g1.t1								
1089	Hmel206007	114114	114510	+	0	NA	Intergenic	Intergenic	-12771	ID=HMEL011868g1.t2-E1;Parent=HMEL011868g1.t2								
12	Hmel201002	599867	601313	+	0	NA	Intergenic	Intergenic	-39144	ID=HMEL003783g1.t1-E1;Parent=HMEL003783g1.t1								
3036	Hmel213039	3201	3525	+	0	NA	Intergenic	Intergenic	-37584	ID=HMEL032021g1.t1-E1;Parent=HMEL032021g1.t1								
1554	Hmel207021	2268321	2268700	+	0	NA	Intergenic	Intergenic	-7487	ID=HMEL037717g1.t1-E1;Parent=HMEL037717g1.t1								
2168	Hmel210010	164151	164310	+	0	NA	Intergenic	Intergenic	-1713	ID=HMEL030821g1.t1-E2;Parent=HMEL030821g1.t1								
4137	Hmel218003	1168375	1168701	+	0	NA	Intergenic	Intergenic	-6436	ID=HMEL034217g1.t1-E1;Parent=HMEL034217g1.t1								
3518	Hmel215006	1299152	1299511	+	0	NA	Intergenic	Intergenic	25170	ID=HMEL000025-RC-E1;Parent=HMEL000025-RC								
3707	Hmel216007	224984	225599	+	0	NA	Intergenic	Intergenic	-1779	ID=HMEL012650g2.t1-E1;Parent=HMEL012650g2.t1								
4806	Hmel219019	366936	367280	+	0	NA	Intergenic	Intergenic	13958	ID=HMEL034942g1.t1-E2;Parent=HMEL034942g1.t1								
3343	Hmel214008	636647	636893	+	0	NA	Intergenic	Intergenic	49716	ID=HMEL032319g1.t1-E4;Parent=HMEL032319g1.t1								
3413	Hmel214019	272390	272678	+	0	NA	Intergenic	Intergenic	-1413	ID=HMEL021089g1.t1-E1;Parent=HMEL021089g1.t1								
4036	Hmel217018	852457	853696	+	0	NA	exon (ID=HMEL005115g1.t1-E2;Parent=HMEL005115g1.t1, exon 1 of 1)	-exon (ID=HMEL005115g1.t1-E2;Parent=HMEL005115g1.t1, exon 1 of 1)	660	ID=HMEL005115g1.t1-E2;Parent=HMEL005115g1.t1								
875	Hmel205009	47165	47386	+	0	NA	Intergenic	Intergenic	1719	ID=HMEL008349g3.t1-E3;Parent=HMEL008349g3.t1								
1522	Hmel207021	319609	320327	+	0	NA	promoter-TSS (ID=HMEL037658g1.t1-E5;Parent=HMEL037658g1.t1)	-promoter-TSS (ID=HMEL037658g1.t1-E5;Parent=HMEL037658g1.t1)	-863	ID=HMEL037658g1.t1-E5;Parent=HMEL037658g1.t1								
3467	Hmel214029	40676	40860	+	0	NA	Intergenic	Intergenic	-7837	ID=HMEL032583g1.t1-E1;Parent=HMEL032583g1.t1								
116	Hmel201007	1334707	1334960	+	0	NA	Intergenic	Intergenic	-2264	ID=HMEL004276g1.t1-E1;Parent=HMEL004276g1.t1								
136	Hmel201009	451973	452795	+	0	NA	Intergenic	Intergenic	8877	ID=HMEL030127g1.t1-E2;Parent=HMEL030127g1.t1								
1197	Hmel206012	1095826	1095995	+	0	NA	Intergenic	Intergenic	-5936	ID=HMEL015565g1.t1-E4;Parent=HMEL015565g1.t1								
4390	Hmel218018	5291081	5291236	+	0	NA	Intergenic	Intergenic	46690	ID=HMEL004599g1.t1-E1;Parent=HMEL004599g1.t1								
1580	Hmel207031	116409	116619	+	0	NA	Intergenic	Intergenic	8330	ID=HMEL037776g1.t1-E10;Parent=HMEL037776g1.t1								
3274	Hmel213069	708365	710718	+	0	NA	Intergenic	Intergenic	-8960	ID=HMEL032224g1.t1-E1;Parent=HMEL032224g1.t1								
2146	Hmel210005	1041015	1041764	+	0	NA	TTS (ID=HMEL030776g1.t1-E4;Parent=HMEL030776g1.t1)	-TTS (ID=HMEL030776g1.t1-E4;Parent=HMEL030776g1.t1)	761	ID=HMEL030776g1.t1-E4;Parent=HMEL030776g1.t1								
2419	Hmel211009	768862	769060	+	0	NA	Intergenic	Intergenic	-2581	ID=HMEL009784g1.t1-E1;Parent=HMEL009784g1.t1								
4604	Hmel219003	5664325	5664635	+	0	NA	Intergenic	Intergenic	-2926	ID=HMEL016875g1.t1-E1;Parent=HMEL016875g1.t1								
308	Hmel201019	1221927	1222988	+	0	NA	Intergenic	Intergenic	-6271	ID=HMEL022131g1.t1-E1;Parent=HMEL022131g1.t1								
3485	Hmel214029	1305250	1305716	+	0	NA	promoter-TSS (ID=HMEL009127g1.t1-E1;Parent=HMEL009127g1.t1)	-promoter-TSS (ID=HMEL009127g1.t1-E1;Parent=HMEL009127g1.t1)	-83	ID=HMEL009127g1.t1-E1;Parent=HMEL009127g1.t1								
5113	Hmel221001	491294	491742	+	0	NA	exon (ID=HMEL011035g1.t1-E1;Parent=HMEL011035g1.t1, exon 1 of 1)	-exon (ID=HMEL011035g1.t1-E1;Parent=HMEL011035g1.t1, exon 1 of 1)	140	ID=HMEL011035g1.t1-E1;Parent=HMEL011035g1.t1								
3802	Hmel216011	1638875	1639290	+	0	NA	Intergenic	Intergenic	-6615	ID=HMEL010254g1.t1-E1;Parent=HMEL010254g1.t1								
4811	Hmel219019	2942	3471	+	0	NA	Intergenic	Intergenic	4125	ID=HMEL034928g1.t1-E2;Parent=HMEL034928g1.t1								
3004	Hmel213027	293429	293918	+	0	NA	promoter-TSS (ID=HMEL031970g1.t1-E2;Parent=HMEL031970g1.t1)	-promoter-TSS (ID=HMEL031970g1.t1-E2;Parent=HMEL031970g1.t1)	243	ID=HMEL031970g1.t1-E1;Parent=HMEL031970g1.t1								
3676	Hmel216001	680908	681625	+	0	NA	Intergenic	Intergenic	3004	ID=HMEL014302g1.t1-E3;Parent=HMEL014302g1.t1								
5295	Hmel213065	4778	5363	+	0	NA	Intergenic	Intergenic	-1350	ID=HMEL032134g1.t1-E1;Parent=HMEL032134g1.t1								
3939	Hmel217004	1422739	1423339	+	0	NA	Intergenic	Intergenic	-4160	ID=HMEL006847g1.t1-E2;Parent=HMEL006847g1.t1								
3027	Hmel213035	365823	366324	+	0	NA	Intergenic	Intergenic	3181	ID=HMEL018033g1.t1-E1;Parent=HMEL018033g1.t1								
301	Hmel201019	529603	530014	+	0	NA	Intergenic	Intergenic	-9620	ID=HMEL010924g1.t1-E1;Parent=HMEL010924g1.t1								
4686	Hmel219009	241300	241626	+	0	NA	promoter-TSS (ID=HMEL034742g1.t1-E2;Parent=HMEL034742g1.t1)	-promoter-TSS (ID=HMEL034742g1.t1-E2;Parent=HMEL034742g1.t1)	157	ID=HMEL034742g1.t1-E1;Parent=HMEL034742g1.t1								
4272	Hmel218018	584549	584955	+	0	NA	promoter-TSS (ID=HMEL017480g1.t1-E4;Parent=HMEL017480g1.t1)	-promoter-TSS (ID=HMEL017480g1.t1-E4;Parent=HMEL017480g1.t1)	-704	ID=HMEL017480g1.t1-E4;Parent=HMEL017480g1.t1								
51	Hmel201002	2612122	2612521	+	0	NA	Intergenic	Intergenic	9446	ID=HMEL030063g1.t1-E2;Parent=HMEL030063g1.t1								
1758	Hmel209001	576603	577140	+	0	NA	Intergenic	Intergenic	27678	ID=HMEL005269g1.t1-E1;Parent=HMEL005269g1.t1								
456	Hmel202006	4947131	4947773	+	0	NA	Intergenic	Intergenic	2665	ID=HMEL006147g3.t1-E3;Parent=HMEL006147g3.t1								
1822	Hmel209005	1010416	1010831	+	0	NA	Intergenic	Intergenic	4662	ID=HMEL012978g1.t1-E5;Parent=HMEL012978g1.t1								
3063	Hmel213049	161665	161900	+	0	NA	Intergenic	Intergenic	-3005	ID=HMEL017093g2.t1-E1;Parent=HMEL017093g2.t1								
1033	Hmel206006	657504	658080	+	0	NA	Intergenic	Intergenic	-23463	ID=HMEL012157g1.t1-E1;Parent=HMEL012157g1.t1								
4059	Hmel217019	243012	243477	+	0	NA	Intergenic	Intergenic	-4260	ID=HMEL014828g2.t1-E2;Parent=HMEL014828g2.t1								
2736	Hmel212009	784243	784522	+	0	NA	TTS (ID=HMEL011904g1.t1-E1;Parent=HMEL011904g1.t1)	-TTS (ID=HMEL011904g1.t1-E1;Parent=HMEL011904g1.t1)	150	ID=HMEL011904g1.t1-E3;Parent=HMEL011904g1.t1								
2258	Hmel210011	3981886	3982532	+	0	NA	Intergenic	Intergenic	-40636	ID=HMEL030907g1.t1-E1;Parent=HMEL030907g1.t1								
1539	Hmel207021	1005262	1005839	+	0	NA	Intergenic	Intergenic	15258	ID=HMEL037686g1.t1-E1;Parent=HMEL037686g1.t1								
796	Hmel205001	323318	324407	+	0	NA	Intergenic	Intergenic	20283	ID=HMEL036594g1.t1-E1;Parent=HMEL036594g1.t1								
2349	Hmel211004	1388325	1388517	+	0	NA	Intergenic	Intergenic	-1593	ID=HMEL031058g1.t5-E1;Parent=HMEL031058g1.t5								
366	Hmel202006	1102589	1103169	+	0	NA	Intergenic	Intergenic	7165	ID=HMEL006872g1.t1-E4;Parent=HMEL006872g1.t1								
4506	Hmel218018	9213909	9214724	+	0	NA	Intergenic	Intergenic	12333	ID=HMEL034512g1.t2-E5;Parent=HMEL034512g1.t2								
1541	Hmel207021	1463807	1464126	+	0	NA	Intergenic	Intergenic	11512	ID=HMEL037701g1.t1-E1;Parent=HMEL037701g1.t1								
3727	Hmel216009	676394	676554	+	0	NA	Intergenic	Intergenic	1402	ID=HMEL033496g1.t1-E1;Parent=HMEL033496g1.t1								
5136	Hmel221005	583055	583559	+	0	NA	promoter-TSS (ID=HMEL015061g2.t1-E2;Parent=HMEL015061g2.t1)	-promoter-TSS (ID=HMEL015061g2.t1-E2;Parent=HMEL015061g2.t1)	-441	ID=HMEL015061g2.t1-E2;Parent=HMEL015061g2.t1								
3527	Hmel215006	1497432	1498842	+	0	NA	Intergenic	Intergenic	-6451	ID=HMEL000036-RA-E4;Parent=HMEL000036-RA								
2343	Hmel211004	934442	935308	+	0	NA	promoter-TSS (ID=HMEL015289g1.t1-E3;Parent=HMEL015289g1.t1)	-promoter-TSS (ID=HMEL015289g1.t1-E3;Parent=HMEL015289g1.t1)	-706	ID=HMEL015289g1.t2-E3;Parent=HMEL015289g1.t2								
5034	Hmel220009	496973	498220	+	0	NA	Intergenic	Intergenic	-16814	ID=HMEL035259g1.t1-E1;Parent=HMEL035259g1.t1								
4889	Hmel220005	673622	673763	+	0	NA	Intergenic	Intergenic	2310	ID=HMEL012263g2.t1-E2;Parent=HMEL012263g2.t1								
4113	Hmel218003	689912	690060	+	0	NA	Intergenic	Intergenic	-13322	ID=HMEL034215g1.t1-E1;Parent=HMEL034215g1.t1								
2108	Hmel210004	6906566	6906791	+	0	NA	Intergenic	Intergenic	-15867	ID=HMEL004060g1.t1-E1;Parent=HMEL004060g1.t1								
3044	Hmel213044	5965	6643	+	0	NA	Intergenic	Intergenic	-6057	ID=HMEL017385g1.t1-E1;Parent=HMEL017385g1.t1								
888	Hmel205012	293306	294044	+	0	NA	Intergenic	Intergenic	9949	ID=HMEL004058g3.t1-E4;Parent=HMEL004058g3.t1								
3771	Hmel216011	616633	617009	+	0	NA	Intergenic	Intergenic	1541	ID=HMEL033543g1.t1-E1;Parent=HMEL033543g1.t1								
1011	Hmel205024	244290	244531	+	0	NA	Intergenic	Intergenic	2560	ID=HMEL036851g1.t1-E2;Parent=HMEL036851g1.t1								
3743	Hmel216009	1131038	1131844	+	0	NA	Intergenic	Intergenic	10541	ID=HMEL033511g1.t1-E3;Parent=HMEL033511g1.t1								
4515	Hmel219001	135408	135976	+	0	NA	Intergenic	Intergenic	3568	ID=HMEL008689-RA-E1;Parent=HMEL008689-RA								
1754	Hmel209001	362433	363476	+	0	NA	Intergenic	Intergenic	4978	ID=HMEL038219g1.t1-E1;Parent=HMEL038219g1.t1								
3683	Hmel216001	430737	431663	+	0	NA	Intergenic	Intergenic	14529	ID=HMEL032979g1.t1-E1;Parent=HMEL032979g1.t1								
1161	Hmel206009	3825995	3826506	+	0	NA	promoter-TSS (ID=HMEL014673g1.t1-E5;Parent=HMEL014673g1.t1)	-promoter-TSS (ID=HMEL014673g1.t1-E5;Parent=HMEL014673g1.t1)	-124	ID=HMEL014673g1.t1-E5;Parent=HMEL014673g1.t1								
2093	Hmel210004	6717279	6718355	+	0	NA	Intergenic	Intergenic	-13393	ID=HMEL009657g1.t1-E1;Parent=HMEL009657g1.t1								
1927	Hmel209007	4331960	4333468	+	0	NA	Intergenic	Intergenic	2463	ID=HMEL009265g1.t1-E1;Parent=HMEL009265g1.t1								
4779	Hmel219018	343025	343458	+	0	NA	Intergenic	Intergenic	-2230	ID=HMEL034879g1.t1-E1;Parent=HMEL034879g1.t1								
1380	Hmel207002	4635222	4635417	+	0	NA	Intergenic	Intergenic	-5061	ID=HMEL007261g2.t1-E1;Parent=HMEL007261g2.t1								
2853	Hmel212014	94513	94884	+	0	NA	Intergenic	Intergenic	-6799	ID=HMEL014802g4.t2-E1;Parent=HMEL014802g4.t2								
3406	Hmel214012	85552	85946	+	0	NA	promoter-TSS (ID=HMEL032410g1.t1-E4;Parent=HMEL032410g1.t1)	-promoter-TSS (ID=HMEL032410g1.t1-E4;Parent=HMEL032410g1.t1)	-333	ID=HMEL032410g1.t1-E4;Parent=HMEL032410g1.t1								
990	Hmel205020	999763	1000183	+	0	NA	promoter-TSS (ID=HMEL021747g1.t1-E6;Parent=HMEL021747g1.t1)	-promoter-TSS (ID=HMEL021747g1.t1-E6;Parent=HMEL021747g1.t1)	-148	ID=HMEL021747g1.t1-E6;Parent=HMEL021747g1.t1								
349	Hmel202006	93506	93921	+	0	NA	promoter-TSS (ID=HMEL017792g5.t1-E10;Parent=HMEL017792g5.t1)	-promoter-TSS (ID=HMEL017792g5.t1-E10;Parent=HMEL017792g5.t1)	116	ID=HMEL017792g5.t1-E8;Parent=HMEL017792g5.t1								
1442	Hmel207003	18134	19298	+	0	NA	Intergenic	Intergenic	1636	ID=HMEL037514g1.t1-E2;Parent=HMEL037514g1.t1								
1614	Hmel208014	230385	230739	+	0	NA	promoter-TSS (ID=HMEL009161g1.t1-E3;Parent=HMEL009161g1.t1)	-promoter-TSS (ID=HMEL009161g1.t1-E3;Parent=HMEL009161g1.t1)	-627	ID=HMEL009161g1.t2-E3;Parent=HMEL009161g1.t2								
